run,api_style,num_classes,num_cell_types,num_parameters,num_behaviors,has_syntax_errors,syntax_errors
1,legacy,1,1,4,5,True,['Line 4: unterminated string literal (detected at line 4)']
2,legacy,2,1,1,4,True,['Line 2: unterminated string literal (detected at line 2)']
3,mixed,1,2,5,3,False,[]
4,legacy,1,1,3,4,True,['Line 8: unterminated string literal (detected at line 8)']
5,legacy,1,1,1,1,True,['Line 32: unterminated string literal (detected at line 32)']
6,legacy,1,4,4,5,True,['Line 4: unterminated string literal (detected at line 4)']
7,mixed,1,0,1,1,False,[]
8,legacy,1,0,1,4,False,[]
9,legacy,1,1,4,3,False,[]
10,modern,1,1,9,4,False,[]
