run,api_style,num_classes,num_cell_types,num_parameters,num_behaviors,has_syntax_errors,syntax_errors
1,legacy,1,0,4,4,False,[]
2,modern,1,0,7,4,False,[]
3,legacy,1,0,6,5,False,[]
4,legacy,1,0,6,3,False,[]
5,legacy,2,0,5,6,True,['Line 10: unterminated string literal (detected at line 10)']
6,legacy,1,0,1,3,True,['Line 4: unterminated string literal (detected at line 4)']
7,legacy,1,0,3,4,False,[]
8,legacy,1,0,5,3,False,[]
9,legacy,1,0,4,1,False,[]
10,modern,2,4,4,5,True,['Line 4: unterminated string literal (detected at line 4)']
