run,api_style,num_classes,num_cell_types,num_parameters,num_behaviors,has_syntax_errors,syntax_errors
1,legacy,1,0,0,2,False,[]
2,legacy,1,0,3,3,True,['Line 30: invalid syntax']
3,legacy,1,1,4,4,False,[]
4,legacy,0,0,0,5,True,['Line 4: unterminated string literal (detected at line 4)']
5,modern,2,0,3,4,True,['Line 4: unterminated string literal (detected at line 4)']
6,legacy,1,0,3,3,False,[]
7,legacy,1,0,3,4,False,[]
8,legacy,1,0,2,3,False,[]
9,legacy,1,1,1,2,False,[]
10,legacy,1,0,2,3,True,['Line 49: invalid syntax']
