run,api_style,num_classes,num_cell_types,num_parameters,num_behaviors,has_syntax_errors,syntax_errors
1,legacy,2,0,2,4,True,['Line 8: unterminated string literal (detected at line 8)']
2,legacy,1,2,3,1,False,[]
3,legacy,1,0,5,2,False,[]
4,legacy,1,2,1,2,False,[]
5,legacy,1,3,2,4,True,['Line 6: unterminated string literal (detected at line 6)']
6,mixed,1,1,1,4,True,['Line 4: unterminated string literal (detected at line 4)']
7,legacy,1,0,1,4,True,['Line 6: unterminated string literal (detected at line 6)']
8,modern,1,0,3,1,False,[]
9,legacy,1,0,3,2,False,[]
10,legacy,1,0,3,1,False,[]
