run,api_style,num_classes,num_cell_types,num_parameters,num_behaviors,has_syntax_errors,syntax_errors
1,legacy,1,0,6,4,False,[]
2,legacy,1,0,4,4,False,[]
3,legacy,2,2,3,5,True,['Line 42: unterminated string literal (detected at line 42)']
4,legacy,1,0,1,4,True,['Line 4: unterminated string literal (detected at line 4)']
5,legacy,1,0,3,3,False,[]
6,modern,1,0,3,4,False,[]
7,legacy,1,0,2,1,False,[]
8,legacy,1,0,3,4,False,[]
9,legacy,1,1,3,3,False,[]
10,legacy,2,0,1,5,True,['Line 8: unterminated string literal (detected at line 8)']
