run,api_style,num_classes,num_cell_types,num_parameters,num_behaviors,has_syntax_errors,syntax_errors
1,legacy,2,1,2,5,True,['Line 8: unterminated string literal (detected at line 8)']
2,legacy,1,2,4,2,False,[]
3,legacy,1,1,3,2,False,[]
4,legacy,1,1,3,4,True,['Line 6: unterminated string literal (detected at line 6)']
5,legacy,1,0,4,1,False,[]
6,legacy,1,1,2,3,False,[]
7,mixed,1,0,4,1,False,[]
8,modern,4,1,1,3,True,['Line 6: unterminated string literal (detected at line 6)']
9,legacy,0,1,0,4,True,['Line 4: unterminated string literal (detected at line 4)']
10,legacy,1,2,7,3,False,[]
