run,api_style,num_classes,num_cell_types,num_parameters,num_behaviors,has_syntax_errors,syntax_errors
1,legacy,1,2,6,1,False,[]
2,legacy,1,0,4,2,False,[]
3,legacy,2,2,3,2,True,['Line 6: unterminated string literal (detected at line 6)']
4,legacy,1,0,3,1,False,[]
5,modern,1,0,5,0,False,[]
6,legacy,1,0,4,2,False,[]
7,legacy,2,0,1,3,True,['Line 8: unterminated string literal (detected at line 8)']
8,legacy,1,5,2,2,False,[]
9,legacy,2,0,1,1,True,['Line 4: unterminated string literal (detected at line 4)']
10,legacy,1,0,4,1,False,[]
