run,api_style,num_classes,num_cell_types,num_parameters,num_behaviors,has_syntax_errors,syntax_errors
1,legacy,1,1,4,3,False,[]
2,legacy,2,1,1,4,True,['Line 6: unterminated string literal (detected at line 6)']
3,legacy,1,0,3,1,False,[]
4,legacy,2,2,1,4,True,['Line 8: unterminated string literal (detected at line 8)']
5,legacy,1,1,1,3,False,[]
6,legacy,2,0,1,3,True,['Line 4: unterminated string literal (detected at line 4)']
7,legacy,1,0,4,2,False,[]
8,legacy,1,2,1,5,True,['Line 6: unterminated string literal (detected at line 6)']
9,modern,1,0,7,2,False,[]
10,legacy,1,3,2,5,True,['Line 4: unterminated string literal (detected at line 4)']
