run,api_style,num_classes,num_cell_types,num_parameters,num_behaviors,has_syntax_errors,syntax_errors
1,mixed,2,1,1,4,True,['Line 6: unterminated string literal (detected at line 6)']
2,legacy,1,0,5,2,False,[]
3,legacy,1,0,3,2,False,[]
4,legacy,1,2,7,3,False,[]
5,legacy,1,1,2,3,False,[]
6,legacy,1,0,1,3,True,['Line 4: unterminated string literal (detected at line 4)']
7,modern,2,0,1,4,True,['Line 8: unterminated string literal (detected at line 8)']
8,legacy,2,0,6,4,False,[]
9,legacy,1,0,4,1,False,[]
10,legacy,1,0,2,4,False,[]
