run,api_style,num_classes,num_cell_types,num_parameters,num_behaviors,has_syntax_errors,syntax_errors
1,legacy,1,0,2,2,False,[]
2,legacy,1,1,3,1,False,[]
3,legacy,1,1,2,2,False,[]
4,legacy,1,1,3,6,True,['Line 4: unterminated string literal (detected at line 4)']
5,legacy,2,1,1,3,True,['Line 4: unterminated string literal (detected at line 4)']
6,mixed,1,0,1,1,False,[]
7,legacy,1,2,3,3,True,['Line 6: unterminated string literal (detected at line 6)']
8,legacy,1,0,8,3,False,[]
9,legacy,1,2,3,2,False,[]
10,legacy,1,0,4,2,False,[]
