run,api_style,num_classes,num_cell_types,num_parameters,num_behaviors,has_syntax_errors,syntax_errors
1,legacy,1,0,8,4,False,[]
2,legacy,0,1,0,5,True,['Line 4: unterminated string literal (detected at line 4)']
3,legacy,1,2,6,4,False,[]
4,mixed,1,2,3,4,False,[]
5,modern,1,1,1,5,True,['Line 4: unterminated string literal (detected at line 4)']
6,legacy,1,0,4,3,False,[]
7,legacy,1,1,2,5,True,['Line 2: unterminated string literal (detected at line 2)']
8,legacy,1,0,0,2,True,['Line 20: unterminated string literal (detected at line 20)']
9,legacy,1,1,5,3,False,[]
10,mixed,1,4,5,5,True,['Line 8: unterminated string literal (detected at line 8)']
