run,api_style,num_classes,num_cell_types,num_parameters,num_behaviors,has_syntax_errors,syntax_errors
1,legacy,1,0,1,3,False,[]
2,legacy,1,0,3,2,False,[]
3,mixed,1,0,4,2,False,[]
4,mixed,1,0,5,3,False,[]
5,legacy,1,2,3,2,False,[]
6,legacy,1,0,1,3,True,['Line 6: unterminated string literal (detected at line 6)']
7,legacy,2,2,2,3,True,['Line 6: unterminated string literal (detected at line 6)']
8,legacy,1,1,2,3,True,['Line 8: unterminated string literal (detected at line 8)']
9,legacy,1,0,5,3,False,[]
10,legacy,1,2,3,2,False,[]
