run,api_style,num_classes,num_cell_types,num_parameters,num_behaviors,has_syntax_errors,syntax_errors
1,legacy,1,0,4,1,False,[]
2,legacy,1,2,11,1,False,[]
3,legacy,1,0,5,4,False,[]
4,legacy,2,2,2,4,True,['Line 6: leading zeros in decimal integer literals are not permitted; use an 0o prefix for octal integers']
5,mixed,1,1,2,2,False,[]
6,legacy,1,1,3,2,False,[]
7,legacy,1,1,5,1,False,[]
8,mixed,1,1,5,1,False,[]
9,modern,2,2,3,3,True,['Line 12: unterminated string literal (detected at line 12)']
10,legacy,3,0,4,5,True,['Line 8: unterminated string literal (detected at line 8)']
