run,api_style,num_classes,num_cell_types,num_parameters,num_behaviors,has_syntax_errors,syntax_errors
1,legacy,2,1,1,4,True,['Line 6: unterminated string literal (detected at line 6)']
2,legacy,2,2,2,6,True,['Line 4: unterminated string literal (detected at line 4)']
3,legacy,1,0,4,1,False,[]
4,legacy,2,0,2,3,False,[]
5,legacy,1,1,6,2,False,[]
6,legacy,1,1,2,4,True,['Line 6: unterminated string literal (detected at line 6)']
7,legacy,1,1,7,2,False,[]
8,legacy,1,0,3,2,False,[]
9,modern,3,0,2,3,True,['Line 2: unterminated string literal (detected at line 2)']
10,legacy,1,0,2,2,False,[]
