run,api_style,num_classes,num_cell_types,num_parameters,num_behaviors,has_syntax_errors,syntax_errors
1,legacy,1,0,2,2,False,[]
2,legacy,1,0,1,1,False,[]
3,legacy,1,1,7,3,False,[]
4,legacy,1,0,2,2,False,[]
5,legacy,1,1,4,3,False,[]
6,mixed,1,1,3,2,False,[]
7,modern,2,0,1,3,True,['Line 4: unterminated string literal (detected at line 4)']
8,legacy,1,2,4,1,False,[]
9,modern,1,1,4,5,True,['Line 8: leading zeros in decimal integer literals are not permitted; use an 0o prefix for octal integers']
10,legacy,1,1,2,3,False,[]
