paper_id,paper_name,abstract_length,CellOntology_unique_terms,CellOntology_avg_consistency,CellOntology_max_consistency,GeneOntology_unique_terms,GeneOntology_avg_consistency,GeneOntology_max_consistency,MeSH_unique_terms,MeSH_avg_consistency,MeSH_max_consistency,code_avg_similarity,code_min_similarity,code_max_similarity
1,Lattice-Based Model of Ductal Carcinoma In Situ Suggests Rules for Breast Cancer Progression to an Invasive State,1952,12,0.158,0.6,18,0.289,1,34,0.144,0.9,0.152,0.03,0.327
2,Using Mathematical Modelling as a Virtual Microscope to Support Biomedical Research,733,0,0,0,0,0,0,0,0,0,0,0,0
3,Integrating multi-scale knowledge on cardiac development into a computational model of ventricular trabeculation,1729,11,0.2,0.5,16,0.219,0.7,24,0.142,0.7,0.189,0.044,0.387
4,Multiscale modeling of the early CD8 T cell immune response in lymph nodes: an integrative study,1112,27,0.137,0.3,37,0.138,0.4,38,0.134,0.7,0.165,0.074,0.358
5,Somites Without a Clock,897,0,0,0,0,0,0,0,0,0,0,0,0
6,Dynamics of cell aggregates fusion: Experiments and simulations,789,5,0.34,0.7,18,0.189,0.6,27,0.119,0.3,0.223,0.102,0.443
7,Synergy of cell–cell repulsion and vacuolation in a computational model of lumen formation,1121,9,0.156,0.3,32,0.141,0.6,29,0.117,0.4,0.172,0.051,0.328
8,"The effects of cell compressibility, motility and contact inhibition on the growth of tumor cell clusters using the Cellular Potts Model",1797,0,0,0,0,0,0,0,0,0,0,0,0
9,Advances in Modelling of Epithelial to Mesenchymal Transition,790,2,1,1,21,0.171,0.6,30,0.113,0.2,0.165,0.027,0.34
10,A design principle underlying the paradoxical roles of E3 ubiquitin ligases,898,0,0,0,12,0.3,0.9,29,0.124,0.4,0.228,0.023,0.553
11,Advances in Modelling of Epithelial to Mesenchymal Transition,790,2,1,1,20,0.205,0.6,27,0.126,0.3,0.141,0.03,0.305
12,Hyaluronan: A critical regulator of endothelial-to-mesenchymal transition during cardiac valve formation,1416,13,0.177,0.7,22,0.209,0.9,40,0.11,0.2,0.193,0.034,0.385
13,"Ovarian Tumor Attachment, Invasion, and Vascularization Reflect Unique Microenvironments in the Peritoneum: Insights from Xenograft and Mathematical Models",1998,0,0,0,0,0,0,0,0,0,0,0,0
14,A Computational Model Predicting Disruption of Blood Vessel Development,2111,8,0.238,0.9,23,0.222,1,44,0.114,0.2,0.22,0.087,0.503
15,Vascular Networks Due to Dynamically Arrested Crystalline Ordering of Elongated Cells,597,5,0.4,1,18,0.183,0.6,30,0.103,0.2,0.195,0.024,0.442
16,Front Instabilities and Invasiveness of Simulated 3D Avascular Tumors,1498,8,0.225,0.6,16,0.219,0.9,26,0.135,0.8,0.178,0.015,0.332
17,Computer Simulation of Cellular Patterning Within the Drosophila Pupal Eye,1661,2,1,1,21,0.195,1,24,0.15,0.4,0.179,0.032,0.357
18,3D Multi-Cell Simulation of Tumor Growth and Angiogenesis,1954,14,0.221,0.8,15,0.287,1,35,0.123,0.6,0.188,0.013,0.435
19,Mathematical Modeling of the Capillary-Like Pattern Generated by Adrenomedullin-Treated Human Vascular Endothelial Cells In Vitro,1076,7,0.157,0.4,22,0.241,0.8,43,0.109,0.2,0.176,0.078,0.335
20,Evolution and Morphogenesis of Differentiated Multicellular Organisms:Autonomously Generated Diffusion Gradients for Positional Information,1175,16,0.144,0.3,23,0.265,0.8,35,0.123,0.3,0.213,0.032,0.435
21,SIMULATION OF SINGLE-SPECIES BACTERIAL-BIOFILM GROWTH USING THE GLAZIER-GRANER-HOGEWEG MODEL AND THE COMPUCELL3D MODELING ENVIRONMENT,1154,10,0.14,0.3,27,0.152,0.8,34,0.118,0.4,0.157,0.026,0.356
22,Discovering Novel Cancer Therapies:A Computational Modeling and Search Approach,1006,12,0.15,0.7,8,0.375,1,24,0.125,0.6,0.17,0.028,0.453
